PTCAR_ID,Name_FR,Geo_Point,Classification_FR
1021,Ruisbroek,"50.79177235694931, 4.295521156744342",Point darrêt
725,Liedekerke,"50.882547619348756, 4.095286581425214",Gare
414,Forest-Est,"50.810200336121405, 4.320981153679814",Point darrêt
415,Forest-Midi,"50.81007340678047, 4.310347515603558",Gare
455,Gand-Saint-Pierre,"51.03551971562273, 3.710101316035026",Gare
223,Bruxelles-Ouest,"50.85205606911623, 4.322817267253679",Gare
2089,Anderlecht,"50.81791888922866, 4.291539354096092",Point darrêt
1979,Tour et Taxis,"50.87155655860092, 4.340863745556818",Point darrêt
1767,Bockstael,"50.87943983027774, 4.348514001056965",Point darrêt
1768,Simonis,"50.865996577140216, 4.334138583169429",Point darrêt
218,Bruxelles-Luxembourg,"50.83883781680315, 4.373972450333651",Gare
812,Meiser,"50.85475700768865, 4.394274208868764",Point darrêt
1192,Vilvorde,"50.924143596819164, 4.432813750440927",Gare
781,Malderen,"51.0142835683645, 4.231399792238794",Point darrêt
102,Baasrode-Sud,"51.019387722927135, 4.154014613475437",Point darrêt
759,Lot,"50.7651283796248, 4.272571084761274",Gare
345,Ede,"50.91099162646058, 3.987780755038092",Point darrêt
110,Bambrugge,"50.913783366720125, 3.935959775955002",Point darrêt
1130,Terhagen,"50.90182412476728, 3.897482385582953",Point darrêt
488,Groot-Bijgaarden,"50.86839848375161, 4.274515964183524",Point darrêt
621,Jette,"50.881204575125274, 4.332923410989739",Gare
707,Lens,"50.55912879114958, 3.903285755830355",Point darrêt
209,Brugelette,"50.59396013997167, 3.852911657275671",Gare
480,Graide,"49.933720522574966, 5.043616894346896",Point darrêt
962,Piéton,"50.435116819743584, 4.286129350702152",Gare
862,Morlanwelz,"50.45819475755931, 4.247606842207115",Point darrêt
936,Ottignies,"50.671773572909835, 4.57037399072079",Gare
289,Court-Saint-Etienne,"50.64556886301799, 4.565541526878087",Point darrêt
438,Gembloux,"50.57124514345281, 4.690630393413791",Gare
809,Mazy,"50.513400763278376, 4.675936277520505",Point darrêt
704,Leignon,"50.26770273272324, 5.107729108098539",Point darrêt
259,Charleroi-Central,"50.40419960473307, 4.438439317574269",Gare
793,Marchienne-Zone,"50.397619847361035, 4.389973803453671",Gare
791,Marchienne-au-Pont,"50.41221700863439, 4.394312434316758",Gare
747,Lodelinsart,"50.43241893630097, 4.46303645771843",Point darrêt
281,Couillet,"50.392644880654636, 4.469332536913794",Gare
258,Charleroi-Ouest,"50.41220705145477, 4.437641138170576",Gare
167,Blanmont,"50.61952302025658, 4.636686922198947",Point darrêt
366,Ernage,"50.592425163054564, 4.667147778459498",Point darrêt
1062,Sclaigneaux,"50.49212088175689, 5.026460714068383",Gare
267,Chaudfontaine,"50.58695623636823, 5.644168865194211",Point darrêt
825,Hergenrath,"50.7092112565971, 6.043032494253016",Point darrêt
1159,Trooz,"50.573287443638215, 5.688448773102868",Point darrêt
897,Natoye,"50.34336370615237, 5.061281004387083",Point darrêt
510,Hamoir,"50.428329185863085, 5.533840033584992",Gare
602,Ypres,"50.847477689409466, 2.876886293338535",Gare
1229,Wervik,"50.78185532955076, 3.046976838497036",Point darrêt
700,Le Campinaire,"50.42379396690787, 4.542815083514929",Gare
263,Châtelet,"50.410143155716874, 4.521411822417459",Gare
768,Luttre,"50.50601205920482, 4.384250450065744",Gare
1018,Roux,"50.44308266000403, 4.394000597740669",Gare
1043,Sart-Bernard,"50.40674172493156, 4.948563267848869",Point darrêt
75,Assesse,"50.36867549683118, 5.021448906114027",Point darrêt
147,Berzée,"50.28562307215228, 4.405998284165093",Point darrêt
395,Faux,"50.621786596713214, 4.549374449548871",Point darrêt
252,Céroux-Mousty,"50.65931328819275, 4.569055560736377",Point darrêt
798,Mariembourg,"50.095337422317996, 4.525417234193296",Gare
610,Jambes-Est,"50.454801239253534, 4.880327093633451",Point darrêt
896,Naninne,"50.4193741226567, 4.930310430645952",Point darrêt
1079,Rhode-Saint-Genèse,"50.74811387298626, 4.361939405399492",Point darrêt
1212,Waregem,"50.89242834863904, 3.425598318010879",Gare
10,Aarsele,"50.98449587636041, 3.41837146665051",Point darrêt
320,De Pinte,"50.99895252342995, 3.655383901874385",Gare
600,Iddergem,"50.87683994746913, 4.068558143749275",Point darrêt
1228,Welle,"50.90304991959586, 4.050866518111865",Point darrêt
1730,Sint-Gillis(Termonde),"51.022081856032756, 4.117208570707191",Point darrêt
1265,Zele,"51.073037158257506, 4.042379417429672",Gare
938,Oudegem,"51.01473762660282, 4.06243712249094",Point darrêt
351,Eke-Nazareth,"50.9615649143227, 3.627889376059195",Point darrêt
219,Brussels Airport - Zaventem,"50.89642423566919, 4.483957847389533",Gare
521,Haren-Sud,"50.88961689074473, 4.415076991367312",Point darrêt
1270,Zichem,"51.00665816404098, 4.987321399397194",Point darrêt
1061,Schulen,"50.96418013344255, 5.185420625696778",Point darrêt
647,Kortemark,"51.025134267709745, 3.043944762515192",Point darrêt
1181,Furnes,"51.07391661680995, 2.669750487607322",Gare
1087,Sint-Martens-Bodegem,"50.867166054827, 4.204939320514606",Point darrêt
34,Anseremme,"50.23801349191663, 4.905565624496428",Gare
1255,Yvoir,"50.32085000105735, 4.878760881633935",Gare
1180,Verviers-Palais,"50.59092927690511, 5.865284693550655",Point darrêt
1226,Welkenraedt,"50.65937064610759, 5.974267220421458",Gare
682,Landegem,"51.06421597579114, 3.577045762398203",Gare
644,Kontich-Lint,"51.133683686555365, 4.476896807075892",Gare
1083,Sint-Katelijne-Waver,"51.0709276997371, 4.495807348334469",Point darrêt
642,Knokke,"51.33992482006363, 3.285227675393621",Gare
790,Marche-lez-Ecaussinnes,"50.54620487661112, 4.177102420800165",Point darrêt
205,Braine-le-Comte,"50.604845229646386, 4.138162426856626",Gare
494,Haaltert,"50.907066639911044, 4.021716617735705",Point darrêt
1206,Waarschoot,"51.15444063797831, 3.61518699750787",Point darrêt
67,Appelterre,"50.8131409498267, 3.972353719832445",Point darrêt
910,Ninove,"50.83945938811422, 4.026263271738284",Gare
1272,Zingem,"50.909119622521686, 3.646473939917027",Gare
434,Gavere-Asper,"50.93058204796167, 3.63943405316194",Gare
559,Herne,"50.7236980075481, 4.014372844400746",Point darrêt
402,Flémalle-Haute,"50.59463893303145, 5.456315954764333",Gare
574,Hofstade,"50.988539647835054, 4.498451705248836",Point darrêt
1224,Weerde,"50.9772432084468, 4.471087335502559",Point darrêt
628,Jurbise,"50.5305545281665, 3.910613222419653",Gare
462,Ghlin,"50.48752350853692, 3.906394389542581",Gare
318,Denderleeuw,"50.8916211692118, 4.071431566263247",Gare
1174,Veltem,"50.900550015820514, 4.6335174452958",Point darrêt
648,Kortenberg,"50.89300414907503, 4.543312927026168",Point darrêt
371,Erquelinnes-Village,"50.30970783583689, 4.13014106169753",Point darrêt
369,Erquelinnes,"50.30411129170655, 4.113617375977737",Gare
1093,Solre-sur-Sambre,"50.312755388942726, 4.158287829875166",Point darrêt
579,Hony,"50.54017176598895, 5.573926109197131",Point darrêt
974,Poulseur,"50.508959330120994, 5.578188092260355",Point darrêt
1244,Wildert,"51.427570310414005, 4.463422810974087",Point darrêt
1131,Ternat,"50.874645886151065, 4.165480312649196",Gare
1761,Delta,"50.81920158619405, 4.404357132417043",Point darrêt
191,Bordet,"50.877774256061116, 4.410014404677236",Point darrêt
900,Neerwinden,"50.76376087765239, 5.036335028370854",Point darrêt
1146,Tirlemont,"50.80793143260549, 4.925636679146979",Gare
784,Manage,"50.50617164615918, 4.234752477101597",Gare
16,Aiseau,"50.429540552358695, 4.584376485715092",Point darrêt
692,La Roche(Brabant),"50.61023315755675, 4.539569636060647",Gare
842,Momalle,"50.66991484515919, 5.367599886749272",Point darrêt
895,Namur,"50.46920536567819, 4.862754782372503",Gare
1009,Ronet,"50.45765531932982, 4.82860168328901",Gare
406,Floreffe,"50.44348110123118, 4.762999764162857",Point darrêt
1067,Seraing,"50.60883252592876, 5.514078318541385",Point darrêt
705,Leman,"50.59896972445059, 5.465658900578723",Point darrêt
619,Jemeppe-sur-Meuse,"50.618416272517344, 5.497799707964933",Point darrêt
361,Engis,"50.5826600592504, 5.402218863759841",Gare
82,Auvelais,"50.449170409737555, 4.630700388895106",Gare
736,Ligny,"50.51135365914018, 4.566056594508623",Point darrêt
400,Flawinne,"50.45624995625646, 4.806300471805666",Gare
424,Franière,"50.439609336308045, 4.733609958619396",Gare
146,Bertrix,"49.85232574197849, 5.268150158632392",Gare
1194,Virton,"49.56075846126811, 5.518329537147838",Gare
68,Archennes,"50.754336747026784, 4.662366455607478",Point darrêt
954,Pecrot,"50.77926684369613, 4.651601336908382",Point darrêt
744,Lobbes,"50.34631966783645, 4.260948846424977",Gare
664,Labuissière,"50.316274428263505, 4.186533133498057",Point darrêt
1168,Uccle-Stalle,"50.80248548773274, 4.323778172104379",Point darrêt
617,Rochefort-Jemelle,"50.16041579601375, 5.266796362727846",Gare
489,Grupont,"50.09050446044575, 5.280534452423004",Gare
901,Nessonvaux,"50.57198592354805, 5.741746104990186",Point darrêt
848,Mons,"50.45443676894685, 3.942380575653974",Gare
446,Genly,"50.39072345512885, 3.911927656451613",Point darrêt
1135,Theux,"50.536285814235605, 5.815107033579014",Gare
1097,Spa,"50.49024449846075, 5.855783501961264",Gare
870,Moustier,"50.452728269433685, 4.693813691641504",Point darrêt
560,Herseaux,"50.714287263158134, 3.244811809737917",Point darrêt
1150,Tollembeek,"50.73542701918243, 3.992881040433152",Point darrêt
1182,Viane-Moerbeke,"50.75195293852315, 3.917163280244609",Point darrêt
120,Basse-Wavre,"50.72414363132286, 4.621220384159443",Point darrêt
126,Beauraing,"50.11383552473339, 4.957023362736713",Gare
924,Olen,"51.17402976775826, 4.902499252052486",Gare
255,Chapelle-Dieu,"50.55789332321276, 4.69867479555985",Point darrêt
982,Quévy,"50.34148798163534, 3.90964048485251",Gare
422,Frameries,"50.40552689016233, 3.906385857023495",Point darrêt
822,Merelbeke,"51.02005759229028, 3.764835021113617",Point darrêt
447,Gentbrugge,"51.03878033234653, 3.756083021889788",Point darrêt
130,Beervelde,"51.08717244239358, 3.879980395887767",Gare
1248,Wondelgem,"51.088985753172615, 3.719596592920779",Gare
335,Tronchiennes,"51.047503145011156, 3.653586159521928",Point darrêt
997,Rixensart,"50.71351480957668, 4.5308236053622",Point darrêt
672,La Hulpe,"50.73811044307934, 4.497448352915446",Point darrêt
1059,Schendelbeke,"50.79778703346734, 3.89916297538759",Point darrêt
1085,Lierde,"50.81658982140952, 3.825714387969385",Point darrêt
12,Acren,"50.73286590400645, 3.847018189393436",Point darrêt
364,Erbisoeul,"50.50786362392144, 3.888447711275467",Point darrêt
733,Liers,"50.69817963901398, 5.566911104604744",Gare
479,Gouy-lez-Piéton,"50.49572848602812, 4.324807411208662",Point darrêt
767,Lustin,"50.36974157183894, 4.877488478707895",Gare
685,Landskouter,"50.970632710101064, 3.79131779293632",Point darrêt
1185,Vielsalm,"50.278815045292525, 5.909332325539062",Gare
970,Pont-à-Celles,"50.513833152896, 4.354095184775157",Point darrêt
471,Godarville,"50.49295177108689, 4.29025278311674",Point darrêt
249,Carlsbourg,"49.90372161477774, 5.097547078492624",Point darrêt
183,Boitsfort,"50.794557885315044, 4.408269528488109",Point darrêt
572,Hoeilaart,"50.76018324714069, 4.467428763148234",Point darrêt
243,Berchem-Sainte-Agathe,"50.873033679817716, 4.2907473424016",Point darrêt
